#Walls
945, 189, 258, 188
258, 188, 238, 198
238, 198, 239, 572
239, 572, 272, 584
272, 584, 307, 570
307, 570, 307, 323
307, 323, 328, 280
328, 280, 403, 247
403, 247, 673, 244
673, 244, 748, 269
748, 269, 786, 323
786, 323, 791, 573
791, 573, 811, 583
811, 583, 841, 579
841, 579, 962, 500
962, 500, 960, 196
960, 196, 945, 189
1058, 76, 139, 76
139, 76, 61, 107
61, 107, 30, 161
30, 161, 30, 161
30, 161, 31, 611
31, 611, 62, 658
62, 658, 144, 691
144, 691, 384, 693
384, 693, 495, 647
495, 647, 512, 611
512, 611, 514, 359
514, 359, 581, 359
581, 359, 583, 610
583, 610, 616, 659
616, 659, 711, 695
711, 695, 914, 693
914, 693, 1162, 549
1162, 549, 1169, 155
1169, 155, 1139, 111
1139, 111, 1097, 89
1097, 89, 1058, 76
#Checkpoints
713, 245, 577, 407
804, 496, 566, 532
822, 565, 701, 705
872, 536, 948, 687
930, 497, 1111, 599
942, 402, 1192, 402
942, 253, 1200, 249
900, 198, 1043, 37
560, 202, 574, 45
255, 208, 68, 59
252, 365, 25, 416
262, 558, 46, 663
280, 564, 266, 706
299, 551, 456, 698
294, 450, 533, 521
336, 262, 520, 401
