#Walls
111, 28, 85, 39
85, 39, 61, 52
61, 52, 47, 74
47, 74, 37, 99
37, 99, 30, 136
30, 136, 28, 173
28, 173, 28, 210
28, 210, 36, 245
36, 245, 44, 276
44, 276, 50, 317
50, 317, 60, 346
60, 346, 66, 382
66, 382, 66, 432
66, 432, 62, 466
62, 466, 49, 504
49, 504, 38, 559
38, 559, 36, 601
36, 601, 47, 634
47, 634, 70, 652
70, 652, 106, 661
106, 661, 156, 661
156, 661, 185, 652
185, 652, 198, 624
198, 624, 204, 585
204, 585, 207, 535
207, 535, 207, 488
207, 488, 204, 447
204, 447, 192, 397
192, 397, 184, 362
184, 362, 163, 309
163, 309, 165, 276
165, 276, 183, 241
183, 241, 212, 229
212, 229, 259, 215
259, 215, 294, 216
294, 216, 309, 224
309, 224, 325, 250
325, 250, 326, 288
326, 288, 324, 333
324, 333, 319, 391
319, 391, 305, 455
305, 455, 289, 494
289, 494, 269, 555
269, 555, 264, 600
264, 600, 300, 632
300, 632, 333, 643
333, 643, 381, 639
381, 639, 411, 613
411, 613, 425, 593
425, 593, 454, 537
454, 537, 458, 505
458, 505, 450, 447
450, 447, 437, 390
437, 390, 424, 336
424, 336, 400, 292
400, 292, 396, 249
396, 249, 429, 210
429, 210, 474, 203
474, 203, 508, 204
508, 204, 552, 216
552, 216, 577, 236
577, 236, 600, 283
600, 283, 601, 363
601, 363, 594, 402
594, 402, 571, 464
571, 464, 555, 501
555, 501, 527, 542
527, 542, 520, 583
520, 583, 534, 619
534, 619, 578, 628
578, 628, 629, 637
629, 637, 700, 635
700, 635, 718, 621
718, 621, 734, 594
734, 594, 754, 548
754, 548, 758, 481
758, 481, 758, 428
758, 428, 748, 355
748, 355, 729, 300
729, 300, 700, 226
700, 226, 668, 169
668, 169, 611, 105
611, 105, 561, 71
561, 71, 428, 44
428, 44, 232, 35
232, 35, 110, 27
134, 112, 115, 183
115, 183, 110, 240
110, 240, 111, 304
111, 304, 116, 350
116, 350, 118, 392
118, 392, 119, 439
119, 439, 112, 475
112, 475, 101, 525
101, 525, 95, 557
95, 557, 96, 570
96, 570, 110, 580
110, 580, 124, 584
124, 584, 143, 585
143, 585, 160, 576
160, 576, 163, 550
163, 550, 162, 492
162, 492, 141, 445
141, 445, 125, 380
125, 380, 121, 295
121, 295, 127, 237
127, 237, 145, 194
145, 194, 178, 170
178, 170, 219, 158
219, 158, 268, 153
268, 153, 317, 153
317, 153, 356, 185
356, 185, 364, 236
364, 236, 367, 291
367, 291, 367, 329
367, 329, 365, 364
365, 364, 362, 398
362, 398, 355, 437
355, 437, 343, 471
343, 471, 332, 514
332, 514, 329, 550
329, 550, 343, 560
343, 560, 373, 555
373, 555, 382, 538
382, 538, 382, 497
382, 497, 379, 456
379, 456, 371, 401
371, 401, 369, 347
369, 347, 368, 302
368, 302, 368, 253
368, 253, 370, 212
370, 212, 370, 181
370, 181, 380, 163
380, 163, 418, 148
418, 148, 477, 146
477, 146, 516, 151
516, 151, 569, 162
569, 162, 611, 185
611, 185, 623, 216
623, 216, 634, 289
634, 289, 646, 346
646, 346, 644, 393
644, 393, 631, 465
631, 465, 615, 507
615, 507, 592, 544
592, 544, 587, 569
587, 569, 611, 584
611, 584, 648, 588
648, 588, 673, 579
673, 579, 690, 541
690, 541, 694, 481
694, 481, 692, 373
692, 373, 670, 281
670, 281, 612, 184
612, 184, 584, 154
584, 154, 530, 128
530, 128, 289, 112
289, 112, 134, 112
#Checkpoints
25.0, 186.0, 118.0, 187.0
43.0, 297.0, 114.0, 285.0
60.0, 406.0, 125.0, 412.0
42.0, 507.0, 112.0, 524.0
36.0, 587.0, 110.0, 563.0
54.0, 647.0, 120.0, 575.0
115.0, 660.0, 134.0, 573.0
204.0, 619.0, 156.0, 570.0
212.0, 506.0, 152.0, 501.0
203.0, 416.0, 130.0, 432.0
184.0, 332.0, 125.0, 338.0
176.0, 281.0, 125.0, 228.0
218.0, 239.0, 191.0, 159.0
274.0, 220.0, 313.0, 145.0
311.0, 245.0, 364.0, 211.0
322.0, 292.0, 366.0, 290.0
315.0, 379.0, 363.0, 394.0
289.0, 493.0, 339.0, 506.0
259.0, 589.0, 345.0, 551.0
334.0, 645.0, 365.0, 541.0
425.0, 609.0, 380.0, 524.0
468.0, 501.0, 380.0, 472.0
438.0, 343.0, 372.0, 355.0
401.0, 261.0, 367.0, 257.0
433.0, 214.0, 448.0, 140.0
527.0, 216.0, 553.0, 155.0
590.0, 273.0, 633.0, 265.0
589.0, 401.0, 651.0, 430.0
561.0, 489.0, 608.0, 521.0
529.0, 612.0, 604.0, 571.0
647.0, 640.0, 648.0, 578.0
764.0, 543.0, 682.0, 540.0
763.0, 434.0, 687.0, 433.0
735.0, 312.0, 678.0, 330.0
712.0, 237.0, 652.0, 263.0
646.0, 142.0, 601.0, 169.0
470.0, 48.0, 459.0, 124.0
288.0, 33.0, 283.0, 124.0
125.0, 30.0, 138.0, 116.0
648.0, 251.0, 701.0, 202.0
501.0, 132.0, 524.0, 41.0
193.0, 116.0, 200.0, 19.0
